configuration_id,generation_id,powertrain_id,market,model_year,trim_name,official_configuration_name,availability_status,availability_from,availability_to,configuration_status,legacy_trim_text,legacy_source_id,notes
CFG-000001,GEN-000001,PWR-000001,TR,2026,evolution plus,Yeni Renault Clio evolution plus TCe EDC 115 hp,CURRENT,,,PROVISIONAL,evolution plus,PILOT-01,Official Renault technical/configurator page. Downgraded: generation identity remains PROVISIONAL; re-verify before promotion.
CFG-000002,GEN-000002,PWR-000002,TR,2026,Easy,Egea Sedan Easy 1.6 M.Jet 130 HP 6MT,CURRENT,,,PROVISIONAL,Easy,PILOT-02,Resolved from current 2026 Fiat price list + official model technical page. Downgraded: generation identity remains PROVISIONAL; re-verify before promotion.
CFG-000003,GEN-000003,PWR-000003,TR,2026,Dream,Corolla 1.8 Hybrid Dream e-CVT,CURRENT,,,PROVISIONAL,Dream,PILOT-03,Current official price list + Jan 2026 technical brochure. Downgraded: generation identity remains PROVISIONAL; re-verify before promotion.
CFG-000004,GEN-000004,PWR-000004,TR,2026,GL Elegance,Vitara 1.4 MHEV 6AT AllGrip 4x4 GL Elegance,CURRENT,,,PROVISIONAL,GL Elegance,PILOT-04,Official Suzuki 2026 price list + technical page. Downgraded: generation identity remains PROVISIONAL; re-verify before promotion.
CFG-000005,GEN-000005,PWR-000005,TR,2026,Design,BYD SEAL U DM-i 1.5L Design,CURRENT,,,PROVISIONAL,Design,PILOT-05,Official BYD Türkiye product page + Mar 2026 technical brochure. Downgraded: generation identity remains PROVISIONAL; re-verify before promotion.
CFG-000006,GEN-000006,PWR-000006,TR,2026,Prestige,Kia EV3 Electric Prestige,CURRENT,,,PROVISIONAL,Prestige,PILOT-06,Official Kia Türkiye 2026 price list + EV3 technical page. Downgraded: generation identity remains PROVISIONAL; re-verify before promotion.
CFG-000007,GEN-000007,PWR-000007,TR,2026,V2,Togg T10X V2 RWD Uzun Menzil,CURRENT,,,PROVISIONAL,V2 RWD Uzun Menzil,PILOT-07,Current official Togg price list effective 2026-06-15. Downgraded: generation identity remains PROVISIONAL; re-verify before promotion.
CFG-000008,GEN-000008,PWR-000008,TR,2026,Expression,Yeni Sandero Stepway Expression Eco-G 120 auto,CURRENT,,,PROVISIONAL,Expression,PILOT-08,Official Dacia Türkiye version/configurator page. Downgraded: generation identity remains PROVISIONAL; re-verify before promotion.
CFG-000009,GEN-000009,PWR-000009,TR,2026,Jump,i20 Jump 1.0 T-GDI 90 PS 7DCT,CURRENT,,,VERIFIED,Jump,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000010,GEN-000009,PWR-000009,TR,2026,Style,i20 Style 1.0 T-GDI 90 PS 7DCT,CURRENT,,,VERIFIED,Style,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
