fact_id,subject_type,subject_id,fact_key,value_type,value,unit,evidence_state,measurement_context,valid_from_model_year,valid_to_model_year,market,notes,value_min,value_max,range_semantics,source_value_semantics,source_value_raw,soc_start_pct,soc_end_pct,charge_power_context_kw
FAC-000001,CONFIGURATION,CFG-000008,cargo_volume_l,NUMBER,410,L,VERIFIED,minimum bagaj hacmi; litre value; official page also reports 328 dm3 VDA,2026,2026,TR,Official Dacia Expression Eco-G 120 auto / dimensions source.,,,NONE,EXACT_SCALAR,,,,
FAC-000002,POWERTRAIN,PWR-000001,torque_nm,NUMBER,190,Nm,VERIFIED,TCe EDC 115,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000003,POWERTRAIN,PWR-000001,engine_displacement_cc,NUMBER,1199,cc,VERIFIED,TCe EDC 115,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000004,GENERATION,GEN-000001,length_mm,NUMBER,4116,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000005,GENERATION,GEN-000001,width_mm,NUMBER,1768,mm,VERIFIED,mirrors excluded,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000006,GENERATION,GEN-000001,height_mm,NUMBER,1451,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000007,GENERATION,GEN-000001,wheelbase_mm,NUMBER,2591,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000008,GENERATION,GEN-000001,cargo_volume_l,NUMBER,391,L,VERIFIED,seats up,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000009,CONFIGURATION,CFG-000001,seats,NUMBER,5,count,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000010,CONFIGURATION,CFG-000001,doors,NUMBER,5,count,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
